c_simulacion,c_cuota,d_vencimiento,a_cuotapagada,d_pago,a_rutcliente,a_tipocliente,a_fechaalta,n_totalfinanciar,n_precio,n_pie,n_plazo,n_tasamensual,a_marca,a_modelo,a_tipocredito,a_nombreproducto,a_seguro,total_cuotas,cuotas_pagadas,cuotas_vencidas_np,cuotas_futuras_np,cuotas_pagadas_con_atraso,max_dias_atraso,estado_pago_credito,pct_pie,tiene_atraso,pagada,dias_atraso,mora
900001,1,2025-11-05,S,2025-11-05,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,1,0,1
900001,2,2025-12-06,S,2025-12-03,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,1,-3,1
900001,3,2026-01-06,S,2026-01-03,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,1,-3,1
900001,4,2026-02-06,S,2026-02-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,1,-5,1
900001,5,2026-03-09,S,2026-03-09,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,1,0,1
900001,6,2026-04-09,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,7,2026-05-10,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,8,2026-06-10,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,9,2026-07-11,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,10,2026-08-11,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,11,2026-09-11,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,12,2026-10-12,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,13,2026-11-12,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,14,2026-12-13,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,15,2027-01-13,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,16,2027-02-13,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,17,2027-03-16,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,18,2027-04-16,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,19,2027-05-17,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,20,2027-06-17,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,21,2027-07-18,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,22,2027-08-18,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,23,2027-09-18,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,24,2027-10-19,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,25,2027-11-19,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
900001,26,2027-12-20,N,2000-01-01,91987847-9,NATURAL,,9677375,13045000,5218000,48,1.34,MARCA_05,MODELO_32,TIPO_01,PRODUCTO_02,SEGURO_01,48,5,1,42,0,0,En Mora Real,40.0,0,0,0,1
